,data,date,type
265,71.81210526315789,1987-02-15,pct_capacity
266,19.0,1987-02-15,num_shows
267,57.58967893378025,1987-02-22,avg_ticket_price_cpi
268,70.75947368421053,1987-02-22,pct_capacity
269,19.0,1987-02-22,num_shows
270,60.5055670383076,1987-03-01,avg_ticket_price_cpi
271,64.57142857142857,1987-03-01,pct_capacity
272,21.0,1987-03-01,num_shows
273,60.41622133055624,1987-03-08,avg_ticket_price_cpi
274,64.46380952380953,1987-03-08,pct_capacity
275,21.0,1987-03-08,num_shows
276,59.33199269147587,1987-03-15,avg_ticket_price_cpi
277,70.80869565217391,1987-03-15,pct_capacity
278,23.0,1987-03-15,num_shows
279,58.4760723530329,1987-03-22,avg_ticket_price_cpi
280,76.64045454545455,1987-03-22,pct_capacity
281,22.0,1987-03-22,num_shows
282,58.83523813607775,1987-03-29,avg_ticket_price_cpi
283,79.60047619047621,1987-03-29,pct_capacity
284,21.0,1987-03-29,num_shows
285,56.886319515487365,1987-04-05,avg_ticket_price_cpi
286,67.97874999999999,1987-04-05,pct_capacity
287,24.0,1987-04-05,num_shows
288,57.655993376614866,1987-04-12,avg_ticket_price_cpi
289,64.17884615384615,1987-04-12,pct_capacity
290,26.0,1987-04-12,num_shows
291,57.371809950067004,1987-04-19,avg_ticket_price_cpi
292,71.8267857142857,1987-04-19,pct_capacity
293,28.0,1987-04-19,num_shows
294,57.55051808549507,1987-04-26,avg_ticket_price_cpi
295,71.80714285714289,1987-04-26,pct_capacity
296,28.0,1987-04-26,num_shows
297,58.2874103489968,1987-05-03,avg_ticket_price_cpi
298,71.26115384615386,1987-05-03,pct_capacity
299,26.0,1987-05-03,num_shows
300,59.10381943925234,1987-05-10,avg_ticket_price_cpi
301,68.29999999999998,1987-05-10,pct_capacity
302,25.0,1987-05-10,num_shows
303,59.81648169923535,1987-05-17,avg_ticket_price_cpi
304,74.27040000000001,1987-05-17,pct_capacity
305,25.0,1987-05-17,num_shows
306,61.6390681514747,1987-05-24,avg_ticket_price_cpi
307,81.50142857142855,1987-05-24,pct_capacity
308,21.0,1987-05-24,num_shows
309,60.53700198244125,1987-05-31,avg_ticket_price_cpi
310,71.04714285714286,1987-05-31,pct_capacity
311,21.0,1987-05-31,num_shows
312,60.791469698897366,1987-06-07,avg_ticket_price_cpi
313,74.652,1987-06-07,pct_capacity
314,20.0,1987-06-07,num_shows
315,62.94800604325699,1987-06-14,avg_ticket_price_cpi
316,79.5135,1987-06-14,pct_capacity
317,20.0,1987-06-14,num_shows
318,61.27007141645462,1987-06-21,avg_ticket_price_cpi
319,78.5125,1987-06-21,pct_capacity
320,20.0,1987-06-21,num_shows
321,59.830871925360455,1987-06-28,avg_ticket_price_cpi
322,76.615,1987-06-28,pct_capacity
323,22.0,1987-06-28,num_shows
324,58.71181430684701,1987-07-05,avg_ticket_price_cpi
325,71.7365,1987-07-05,pct_capacity
326,20.0,1987-07-05,num_shows
327,62.842288038884206,1987-07-12,avg_ticket_price_cpi
328,72.941,1987-07-12,pct_capacity
329,20.0,1987-07-12,num_shows
330,61.58499122992392,1987-07-19,avg_ticket_price_cpi
331,74.3,1987-07-19,pct_capacity
332,20.0,1987-07-19,num_shows
333,60.59494046914625,1987-07-26,avg_ticket_price_cpi
334,75.6285,1987-07-26,pct_capacity
335,20.0,1987-07-26,num_shows
336,61.70839524675209,1987-08-02,avg_ticket_price_cpi
337,78.92578947368422,1987-08-02,pct_capacity
338,19.0,1987-08-02,num_shows
339,62.19098088083873,1987-08-09,avg_ticket_price_cpi
340,85.71055555555556,1987-08-09,pct_capacity
341,18.0,1987-08-09,num_shows
342,67.85004172517085,1987-08-16,avg_ticket_price_cpi
343,84.52055555555556,1987-08-16,pct_capacity
344,18.0,1987-08-16,num_shows
345,62.751642469343814,1987-08-23,avg_ticket_price_cpi
346,85.33611111111111,1987-08-23,pct_capacity
347,18.0,1987-08-23,num_shows
348,63.8941933679678,1987-08-30,avg_ticket_price_cpi
349,84.94388888888889,1987-08-30,pct_capacity
350,18.0,1987-08-30,num_shows
351,62.69483547725578,1987-09-06,avg_ticket_price_cpi
352,80.25277777777777,1987-09-06,pct_capacity
353,18.0,1987-09-06,num_shows
354,61.38796772464578,1987-09-13,avg_ticket_price_cpi
355,76.28555555555555,1987-09-13,pct_capacity
356,18.0,1987-09-13,num_shows
357,62.314208362769335,1987-09-20,avg_ticket_price_cpi
358,77.30999999999999,1987-09-20,pct_capacity
359,19.0,1987-09-20,num_shows
360,62.531943302572714,1987-09-27,avg_ticket_price_cpi
361,73.04666666666665,1987-09-27,pct_capacity
362,18.0,1987-09-27,num_shows
363,61.14126316777963,1987-10-04,avg_ticket_price_cpi
364,71.189,1987-10-04,pct_capacity
365,20.0,1987-10-04,num_shows
366,60.00902562241416,1987-10-11,avg_ticket_price_cpi
367,77.43130434782609,1987-10-11,pct_capacity
368,23.0,1987-10-11,num_shows
369,59.49971964143136,1987-10-18,avg_ticket_price_cpi
370,74.68478260869564,1987-10-18,pct_capacity
371,23.0,1987-10-18,num_shows
372,61.641427872211246,1987-10-25,avg_ticket_price_cpi
373,75.48772727272727,1987-10-25,pct_capacity
374,22.0,1987-10-25,num_shows
375,61.39859499659376,1987-11-01,avg_ticket_price_cpi
376,69.73909090909092,1987-11-01,pct_capacity
377,22.0,1987-11-01,num_shows
378,63.41826193751584,1987-11-08,avg_ticket_price_cpi
379,75.5104347826087,1987-11-08,pct_capacity
380,23.0,1987-11-08,num_shows
381,63.62881585997178,1987-11-15,avg_ticket_price_cpi
382,76.97304347826086,1987-11-15,pct_capacity
383,23.0,1987-11-15,num_shows
384,62.33563897509653,1987-11-22,avg_ticket_price_cpi
385,75.35363636363634,1987-11-22,pct_capacity
386,22.0,1987-11-22,num_shows
387,67.4912247402527,1987-11-29,avg_ticket_price_cpi
