,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
51,A Night With Janis Joplin,Lyceum Theatre,344502.1904761905,80.34428571428572,0.7349904761904762,91.01397089965573,390264.89359106414,235.50138095238097,6.666666666666667,0.0
52,A Raisin in the Sun,Ethel Barrymore Theatre,1083570.7333333334,139.03799999999998,1.0,156.35704854228422,1218309.272540633,237.2276666666667,5.666666666666667,0.0
53,A Raisin in the Sun,Royale Theatre,529401.8666666667,67.578,0.8992333333333332,91.83157915689289,719286.4208928066,196.3066666666667,5.866666666666666,0.0
54,A Small Family Business,Music Box Theatre,102688.7,22.484,0.60651,40.901733926019034,186869.03077359608,146.62999999999997,4.8,0.0
55,A Soldier's Play,American Airlines Theatre,357685.75,72.461,0.94418,72.48536197944263,357720.9435993022,266.6811,4.7,0.0
56,A Steady Rain,Gerald Schoenfeld Theatre,1166826.3076923077,139.0592307692308,1.0090076923076925,168.28467702613696,1411938.372369272,220.45961538461538,6.153846153846154,0.0
57,A Streetcar Named Desire,Broadhurst Theatre,378754.0625,62.217499999999994,0.6525500000000001,72.33838244966013,440375.56802421814,229.43049999999994,6.5625,0.0
58,A Streetcar Named Desire,Circle in the Square Theatre,54398.92857142857,15.760000000000002,0.7604071428571427,34.45280557085555,118931.33939912966,122.08571428571429,6.0,0.0
59,A Streetcar Named Desire,Ethel Barrymore Theatre,283207.0,40.44238095238095,0.7960142857142858,73.4427283935295,514495.75043961627,146.9333333333333,6.523809523809524,0.0
60,A Streetcar Named Desire,Studio 54,271963.13333333336,52.67733333333334,0.7396066666666666,70.11380210453765,361962.1183806035,200.44666666666666,4.866666666666666,0.0
61,A Tale of Two Cities,Al Hirschfeld Theatre,387958.5,60.237500000000004,0.5903999999999999,74.15338809246056,477602.45706187724,216.72366666666667,5.0,0.0
62,A Thousand Clowns,Criterion Center Stage Right,113312.66666666667,29.39222222222222,0.9894111111111111,47.339840329769764,182498.11034736395,165.66666666666669,3.5555555555555554,0.0
63,A Thousand Clowns,Longacre Theatre,221552.0,46.35166666666667,0.5698333333333333,66.22492227305197,316564.5427683085,186.73333333333332,6.916666666666667,0.0
64,A Time to Kill,John Golden Theatre,215070.0,56.20375,0.7423249999999999,63.795348635930296,244080.00941981864,235.05762499999997,4.125,0.0
65,A Touch of the Poet,Studio 54,300803.8333333333,52.35999999999999,0.7562916666666668,68.85168130484215,395470.6023793866,202.89166666666665,4.833333333333333,0.0
66,A Tuna Christmas,Booth Theatre,116269.5,33.254999999999995,0.6012,55.977464608537254,195568.71960067563,158.47500000000002,5.0,0.0
67,A View from the Bridge,Cort Theatre,781138.6428571428,93.15428571428572,0.9730999999999999,112.59681331227794,944159.2727977453,220.7173571428571,5.785714285714286,0.0
68,A View from the Bridge,Lyceum Theatre,467657.6476470589,72.52647058823528,0.8043117647058823,79.05315322807863,509703.734651636,244.76005882352936,6.294117647058823,0.0
69,A View from the Bridge,Neil Simon Theatre,149684.76923076922,39.99769230769231,0.9353307692307692,62.21370983828698,232799.31455085787,171.5076923076923,6.230769230769231,0.0
70,A View from the Bridge,Neil Simon Theatre,205888.4090909091,32.343636363636364,0.6510227272727275,49.81036217722501,317023.10354848945,173.2409090909091,7.181818181818182,0.045454545454545456
71,A Walk in the Woods,Booth Theatre,78124.65,21.602000000000007,0.598895,47.10151096993309,170253.93641050727,122.29499999999999,6.85,0.0
72,A Year with Frog and Toad,Cort Theatre,157856.45454545456,43.089090909090906,0.4349545454545455,59.63408387400907,218445.72679819466,192.7818181818182,6.636363636363637,0.0
73,Abe Lincoln in Illinois,Vivian Beaumont Theater,148316.11111111112,22.86777777777778,0.7800555555555556,39.56378214738143,256556.4232241899,154.14444444444445,4.444444444444445,0.0
74,Absurd Person Singular,Biltmore Theatre,165108.72727272726,48.69545454545455,0.6816090909090909,64.25097931870978,217856.46057679114,202.1909090909091,5.090909090909091,0.0
75,Accent on Youth,Samuel J. Friedman Theatre,169064.58333333334,49.28666666666667,0.6758000000000001,60.06628659146332,206033.4168740268,218.92383333333336,5.916666666666667,0.0
76,Accomplice,Richard Rodgers Theatre,93534.5,14.068999999999999,0.6765100000000001,27.931741208480407,185737.23990644678,134.37999999999997,5.2,0.0
77,Act One,Vivian Beaumont Theater,366236.0,65.42307692307692,0.6822538461538461,73.53625756476018,411603.88320439064,237.32038461538463,5.153846153846154,0.0
78,After Midnight,Brooks Atkinson Theatre,573901.4054054054,86.83675675675677,0.8154324324324326,97.97694152058766,647476.6139780559,236.46948648648657,7.378378378378378,0.0
79,After Miss Julie,American Airlines Theatre,211220.5,46.19999999999999,0.7973666666666666,55.88985228242083,255512.68621809283,220.50458333333333,4.416666666666667,0.0
